sentiment,skin_type_mentioned,key_benefit,complaint,customer_representative_reply,dark_spot_effect
Positif,berminyak,Menghilangkan bekas jerawat dan menyamarkan kulit,None,"Terima kasih atas kesetiaan Anda terhadap produk kami, Azarine! Kami senang melihat bahwa produk kami telah membantu Anda dalam mencapai kulit yang lebih sehat dancantik. Kami akan terus berusaha untuk meningkatkan kualitas produk kami untuk memenuhi kebutuhan Anda.",
Positif,N/A,Bikin kulit glowing dan tidak membuat iritasi,None,"Terima kasih atas review Anda! Kami senang serum kami telah membantu kulit Anda menjadi terlihat lebih cerah. Kami siap membantu jika Anda memiliki pertanyaan atau kebutuhan lebih lanjut. Selama menggunakan serum, pastikan untuk tidak menggunakan terlalu banyak produk lain untuk menghindari ketergantungan kulit. Saya akan segera membalas jika Anda memiliki pertanyaan tambahan!",
Positif,N/A,Membuat wajah lebih cerah,None,Terima kasih sudah menggunakan serum Azarine dan memberikan ulasan positif. Kami senang serum kami membantu membuat wajah Anda lebih cerah. Kami akan terus meningkatkan kualitas produk kami agar tetap memenuhi kebutuhan kulit Anda.,
Positif,N/A,"memperbaiki kelembaban dan kekenyalan kulit, mencerahkan, dan menyerap di kulit dengan ringan",None,Terima kasih sudah mencoba serum Azarine! Kami senang mengetahui bahwa produk kami telah membantu memperbaiki kelembaban dan kekenyalan kulit Anda. Kami akan terus berusaha untuk meningkatkan kualitas produk kami agar dapat memberikan hasil yang lebih baik. Saya berharap Anda akan terus menggunakan serum kami dan melihat hasil yang lebih baik.,
Positif,N/A,Membantu nyerahin dan membuat kulit menjadi cerah,N/A,Selamat atas hasil positif Anda setelah menggunakan Azarine Sunscreen! Kami senang dapat membantu Anda dalam mencapai kulit yang sehat dan cerah. Teruslah menjaga kebersihan dan perawatan kulit Anda dengan produk kami,
Positif,N/A,Membuat kulit lebih cerah,None,"Terima kasih atas ulasan positif Anda tentang produk sunscreen kami! Kami senang mendengar bahwa produk kami berhasil memenuhi kesan Anda. Kulit cerah dan sehat adalah impian kami untuk setiap pelanggan. Kami akan terus berupaya untuk meningkatkan mutu produk kami. Jika Anda memiliki pertanyaan atau membutuhkan saran, silakan hubungi kami.",
Positif,N/A,"nyaman dikulit, ga lengket",None,Terimakasih telah memilih produk kami dari Azarine. Kami senang sekali bahwa Anda puas dengan kualitas produk kami!,
Positif,N/A,Cerahin dan menyamarkan noda hitam,None,Terima kasih sudah memilih produk sunscreen Azarine! Kami senang mendengar bahwa produk kami bisa membantu Anda merasa lebih cerah dan menyamarkan noda hitam. Kami akan terus meningkatkan kualitas produk kami untuk memberikan hasil yang masih lebih baik.,
Positif,N/A,Melembabkan,Akun yang mudah menyerah (mungkin terkait efek pencerahan),"Terima kasih telah membagikan pengalaman Anda dengan Azarine Sunscreen! Kami senang Anda merasakan manfaat lembabannya. Jika Anda memiliki pertanyaan atau ingin mengetahui lebih banyak tentang produk kami, silakan hubungi kami di [alamat email atau media sosial resmi].",
Positif,kering,Bikin muka jadi cerah dan lumayan melembabkan,None,"Terima kasih sudah memilih produk kami, kami senang mendengar bahwa Anda puas dengan hasilnya. Azarine",
Negatif,N/A,Tidak ada manfaat yang disebutkan,"Produk beruntusan setelah pemakaian pertama dan makin parah setelah 3 kali pemakaian, meskipun pemakai sebelumnya menggunakan vit C dari brand lain","Selamat atas waktu Anda untuk mencoba produk kami. Kami sangat senang atas saran dan umpan balik dari pelanggan kami. Karena Anda mengalami efek beruntusan, kami sarankan Anda untuk mengikuti instruksi penggunaan produk dengan benar dan tidak menggunakan produk yang sama secara berbarengan dengan produk lainnya. Kalau memungkinkan, kami mengajak Anda untuk menghubungi kami langsung melalui media sosial kami agar kami dapat membantu Anda lebih lanjut.",
Positif,N/A,"Mengencangkan dan menambah cerah wajah, serta meratakan warna kulit",Mengencangkan dan menencerahkan mungkin membutuhkan waktu,"Terima kasih atas review Anda atas serum kami! Kami senang mengetahui bahwa produk kami telah membantu Anda. Jika Anda menempuh waktu lebih lama untuk mengencangkan wajah Anda, kami sarankan untuk terus menggunakan produk kami secara rutin untuk hasil yang optimal. Kami juga akan memperkuat merek kami untuk mencapai pencahayaan kulit yang lebih baik. Terima kasih atas kepercayaan Anda!",
Netral/Positif-Netral,berminyak,mencerahkan dan melembabkan kulit wajah,toner Azarine tidak sesuai dengan kulit pengguna dan menyebabkan jerawat,"Terima kasih atas komentar Anda. Kami memahami bahwa setiap kulit memiliki kebutuhan yang berbeda-beda. Kami sangat senang Anda mencoba serum lightening c white dan facial wash kami, dan Kami akan terus memperbaiki formula toner kami untuk lebih sesuai dengan berbagai jenis kulit. Jika Anda membutuhkan bantuan dalam menemukan produk yang tepat untuk kulit Anda, jangan ragu untuk menghubungi kami.",
Negatif,N/A,"Tekstur produk enak, aromanya calming, tidak membentuk jerawat dan bruntusan",Tidak ada efek positif apa pun setelah digunakan,Terima kasih atas ulasan Anda. Kepedulian kami akan kebutuhan kulit Anda. Apakah Anda ingin mencoba produk lain dari kami? Kami siap membantu dan akan menyesuaikan produk dengan kebutuhan kulit Anda.,
Negatif,N/A,,Produk sunscreen tidak berkinerja baik dan tidak ada perubahan pada kulit setelah 1 bulan digunakan,Terima kasih atas review Anda. Kami berharap Anda masih memperoleh manfaat dari pengobatan produk kami. Kami sedang melihat kembali formulasi produk untuk meningkatkan efektivitasnya.,
Positif,tidak disebutkan secara spesifik,Bantu menghilangkan PIH (Peradangan Infeksi Hipertrofi pada Infeksi) dan hematan,None,"Terima kasih atasreview positif Anda, kami senang serum kita sudah membantu Anda menghilangkan PIH. Kami akan terus berusaha untuk meningkatkan kualitas produk kami. Kami juga senang Anda merasa produk ini sudah cukup efektif dengan dosis yang minim. Untuk informasi tambahan tentang produk lainnya, silakan hubungi kami di [kontak kami].",
Positif,Bisa untuk semua jenis kulit (all skin type),Efek brighteningnya dan mencerahkan secara keseluruhan wajah,Tidak ada efek pada jerawat aktif,"Terima kasih telah menggunakan produk kami, kami senang Anda puas dengan hasilnya! Kami juga ingatkan bahwa untuk hasil maksimal, perlu rutin menggunakan produk setiap hari.",
Positif,berminyak,Membuat kulit tidak kusam dan mengurangi jerawat,Efek mencerah tidak terasa signifikan,"Terima kasih atas ulasan Anda tentang produk sunscreen Azarine! Kami senang mendengar bahwa produk kami membantu membuat kulit Anda lebih cerah dan bebas jerawat. Kami memahami bahwa efek mencerah belum terasa signifikan, dan kami akan terus mengembangkan produk untuk meningkatkan kinerja kami. Jika Anda memiliki saran atau pertanyaan, jangan ragu untuk menghubungi kami.",
Positif,N/A,"Teksturnya cukup light dan gampang di blend, kemasannya botol plastik ramping berpipet",None,"Terima kasih telah memilih produk kami! Kami senang Anda menyukai tekstur dan kemasan produk Lightening Serum kami. Bila Anda memiliki pertanyaan lebih lanjut atau memerlukan bantuan, jangan ragu untuk bertanya. Kami akan senang membantu.",
Netral,N/A,Pertama kali mencoba vitamin C,"Hasil tidak terlalu keliatan, harga murah","Terima kasih telah mencoba produk kami, kami senang Anda berminat dengan vitamin C kami. Kami mengerti bahwa hasilnya belum terlalu keliatan, namun dengan penggunaan yang terus-menerus, Anda mungkin dapat melihat perubahan yang lebih signifikan. Kami senang membantu Anda menemukan produk yang lebih sesuai dengan kebutuhan kulit Anda. Apakah Anda membutuhkan saran produk lain yang lebih sesuai dengan kebutuhan kulit Anda?",
Positif,N/A,"Memberikan kilap (mencerahkan) wajah, memiliki tekstur yang tidak lengket, dan mudah digunakan",None,"Terima kasih atas umpan balik positif Anda atas produk Sunscreen Azarine! Kami senang bahwa produk kami telah membantu memberikan kilap pada wajah Anda. Untuk menjaga tekstur yang ringan dan tidak lengket, kami sarankan Anda untuk menggunakan produk kami secara teratur dan tidak berlebihan. Kami akan terus berusaha untuk meningkatkan kualitas produk kami untuk kepuasan Anda. Selamat berbagi keindahan!",
Positif,N/A,Mencerahkan wajah dan praktis dalam pemakaiannya,Hingga saat ini tidak ada keluhan yang diajukan oleh pelanggan,Terima kasih atas ulasan positifnya. Kami senang Anda menikmati serum ini dan dapat membantu Anda memiliki wajah cerah.,
Positif,N/A,Melindungi kulit dari sinar UV dan tidak membuat jerawat timbul,Tidak ada,"Terima kasih telah memilih produk Azarine! Kami senang Anda puas dengan hasilnya. Kualitas kami sangat penting bagi kami, jadi kami akan terus bekerja keras untuk memastikan Anda mendapatkan yang terbaik. Selamat mencoba produk lainnya!",
Negatif,berminyak,Affordable price,"Makin kusem, timbul jerawat","Selamat hari Anda, kami sangat berterima kasih atas waktu dan kesediaan Anda untuk mencoba produk sunscreen kami. kami sangat disediakan untuk membantu Anda menemukan produk yang tepat untuk kulit Anda. Apakah Anda memiliki saran atau masukan apa pun yang akan membantu kami meningkatkan kualitas produk kami? Sekarang, kami juga menawarkan produk serum yang tidak mengandung vitC, apakah Anda berminat mencoba?",
Positif,N/A,Mencegah perubahan kulit karena memiliki tekstur yang cepat meresap dan menghilangkan kekeringan kulit.,Tidak ada,"Terima kasih sudah menggunakan produk sunscreen kami! Kami senang Anda menikmati tekstur dan aroma produk kami. Namun, kami juga memahami bahwa Anda tidak menangkap perubahan yang signifikan setelah menggunakan produk kami. Kami ingin membersihkan diri Anda lebih baik dengan menggunakan produk kami secara konsisten selama 2-3 minggu untuk melihat hasilnya yang lebih baik. Jika Anda memiliki pertanyaan lebih lanjut, silakan hubungi kami!",
Positif,N/A,Membantu mengurangi melasma dan meratakan warna kulit,None,"Terima kasih sudah memilih produk AZARINE untuk kulit Anda! Kami senang mendengar bahwa Anda telah mendapatkan hasil yang positif dengan menggunakan produk kami. Kami berharap Anda terus puas dengan hasil penggunaan produk kami dan akan terus memberikan dukungan dan informasi terkait kulit Anda. Jika Anda memiliki pertanyaan atau kebutuhan lebih lanjut, jangan ragu untuk menghubungi kami.",
Positif,berminyak (diteorikan dari efek slow dan jerawat),"bisa memudarkan bekas jerawat, mencerahkan, meratakan warna kulit, dan tidak iritasi.",None,"Terima kasih atas ulasannya yang sangat positif! Kami senang Azarine berhasil memenuhi kebutuhan kulit Anda. Selain itu, kami bangga dapat melayani Anda dengan packaging yang nyaman dan mudah dibawa saat bepergian. Kami akan terus berusaha untuk merancang produk yang lebih baik dalam waktu depan. Terimakasih telah memilih Azarine sebagai pilihan Anda!",
Positif,kering,teksur yang nyaman dan bau wangi,None,Terima kasih telah melakukan review atas pengalaman Anda dengan produk sunscreen kami! Kami senang mendengar bahwa Anda menyukai tekstur dan bau produk kami. Apakah Anda memiliki pertanyaan atau saran untuk kami?,
Positif,minyak,"terkontrol minyak di muka, kulit lebih cerah",None,"Terima kasih telah memilih produk kami, Azarine! Kami senang Anda telah menemukan hasil yang positif setelah menggunakan serum vit-C kami. Untuk mendapatkan hasil maksimal, kami sarankan terus menggunakan produk rangkaian C-Series kami. Jika Anda memiliki pertanyaan atau saran, silakan hubungi kami.",
Positif,N/A,"Gak lengket, cepet meresap, tidak berminyak, melembabkan kulit, dan melembutkan kulit",None,Terima kasih atas kunjungan Anda dan pilihan produk sunscreen kami. Kami senang Anda menyukai tekstur dan aroma produk kami. Kami berusaha untuk terus meningkatkan kualitas produk kami untuk memberikan perlindungan kulit yang lebih baik. Kami harap Anda terus menjadikan kami sebagai pilihan produk kecantikan Anda.,
Netral,N/A,"Tidak diketahui secara pasti, tapi mungkin karena efek mencerah, tapi efeknya ga signifikan",Kulit terasa agak kering,"Terima kasih Anda telah membagikan review ini. Kami senang Anda memberikan umpan balik tentang produk kami. Untuk mengatasi masalah keringnya kulit Anda, kami sarankan Anda untuk menggunakan moisturizer dari kami yang lebih pelembab. Jika Anda memiliki pertanyaan atau masalah lainnya, silakan hubungi kami di [email@email.com].",
Positif,N/A,"Membuat kulit cerahan, tidak berbau, dan produk yang cocok untuk kulitnya.",None,Terima kasih sudah mencoba produk kami dan berbagi kepuasan Anda dengan kami. Kami sangat senang Anda menyukai hasil penggunaan produk kami dan menemukan kombinasi produk yang cocok untuk kulit Anda. Kami akan terus berusaha untuk membantu Anda menjaga kesehatan dan kecantikan kulit Anda. Selamat berkehidupan,
Positif,N/A,Menyamarkan noda hitam dan membuat kulit lebih cerah,Tidak ada keluhan,"Terima kasih telah menggunakan Azarine! Kami senang melihat Anda puas dengan hasil penggunaan produk kami. Produk kami dirancang untuk memberikan perlindungan ekstra dari sinar UV sementara juga meningkatkan kecerahan dan kesehatan kulit. Kami akan terus berusaha untuk memenuhi harapan pelanggan kami. Untuk informasi lebih lanjut, silakan hubungi kami.",
Positif,"bertekstur, berbekas jerawat",menghilangkan bekas jerawat dan menghaluskan tekstur kulit,"bukan keluhan, tapi menyarankan bahwa perubahan tidak instan","Terima kasih sudah mencoba produk serum kami! Kami senang Anda menemukan manfaat dari produk kami. Untuk informasi, kami berharap Anda akan terus menggunakan produk kami secara rutin karena keseimbangan kulit memerlukan waktu dan usaha. Jika Anda memiliki pertanyaan atau kekhawatiran, jangan ragu untuk menghubungi kami.",
Negatif,berminyak,"waninya enak, khas dengan aroma jeruk",bruntusan pada mulut,"Terima kasih sudah melakukan review tentang produk kami. Kami mohon maaf atas pengalaman yang tidak menyenangkan. Jika Anda masih mengalami masalah dengan produk kami, silakan hubungi kami agar kami dapat membantu lebih lanjut.",
Negatif,kering/dan kusam (bisa diartikan juga kulit kombinasi),menghaluskan dan melembabkan karena hyaluronic acid,"produk bikin kulit berminyak, kusam, dan muka bruntusan","Terima kasih atas ulasan Anda. Sayangnya, produk kami tidak cocok untuk kulit Anda. Kami memiliki beberapa opsi untuk mengatasi masalah kulit Anda, seperti penggunaan produk yang lebih sesuai dengan jenis kulit Anda. Jika Anda ingin mendiskusikan lebih lanjut, silakan menghubungi kami melalui email atau media sosial kami.",
Positif,N/A,"Membuat kulit wajah lebih cerah, kencang, dan lembab, serta mengurangi guratan halus kulit/keriput",None,"Terima kasih telah memilih produk kami, Lightening Serum. Kami senang membantu Anda merawat kulit wajah agar tetap sehat dan cerah. Ingatlah untuk menggunakan produk kami secara teratur dan konsisten untuk memaksimalkan hasilnya. Jika Anda memiliki pertanyaan atau saran, jangan ragu untuk menghubungi kami.",
Positif,N/A,"Membuat kulit cerah, menyamarkan noda hitam, mengancangkan kulit, dan sebagai anti oksidan",None,"Terima kasih telah mencoba produk kami! Kami senang mendengar bahwa Anda merasa puas dengan hasilnya. Produk kami diformulasikan untuk membantu kulit Anda tetap cerah dan sehat. Untuk informasi lebih lanjut tentang produk kami atau untuk pertanyaan, silakan hubungi kami.",
Positif,N/A,Membuat kulit tampak cerah dan mengurangi bekas jerawat,Belum hilang sama sekali bekas jerawat,"Terima kasih sudah mencoba produk Azarine Serum Vit C kami! Kami senang bahwa Anda merasakan perbaikan pada kulit Anda, meskipun masih ada bekas jerawat yang belum hilang. Kami akan terus meningkatkan kualitas produk kami untuk memenuhi kebutuhan Anda. Jika Anda masih memiliki pertanyaan atau kekhawatiran, silakan hubungi kami. Dan tidak lupa kami berharap Anda menikmati kemajuan kulit Anda dalam waktu yang lebih singkat.",
Positif,N/A,"Tekstur yang pas, cepat meresap, dan worth it",Membatasi penggunaan karena khawatir memicu jerawatan dan breakout,"Terima kasih telah mencoba produk kami! Kami senang Anda senang dengan tekstur dan kecepatan meresapnya produk. Jika Anda memiliki masalah jerawatan atau breakout, kami sarankan untuk mencoba produk yang lebih sesuai dengan kebutuhan kulit Anda. Jika Anda belum mencoba produk kami yang lain, kami menawarkan promo spesial untuk Anda. Silakan hubungi kami untuk informasi lebih lanjut.",
Positif,N/A,Mencerahkan dan menghilangkan bekas jerawat,None,"Terima kasih sudah memilih produk kami! Kami senang mendengar bahwa produk kami telah membantu Anda merasa lebih bersih dan menghilangkan bekas jerawat. Kami akan terus berusaha untuk meningkatkan kualitas produk kami untuk memuaskan kebutuhan Anda. Jika Anda memiliki pertanyaan atau komplain lainnya, silakan hubungi kami melalui media sosial kami.",
Positif,N/A,Bikin cerah,Bikin bruntusan di dahi dan milia dibawah mata,"Terima kasih sudah mencoba produk sunscreen kami, kami senang Anda puas dengan hasil cerah. Meskipun terjadi beberapa masalah pada awalnya, kami berharap Anda dapat melihat perbedaan yang lebih baik setelah beberapa kali penggunaan. Jika Anda memiliki saran atau keluhan lain, silakan hubungi kami.",
Positif,berminyak,bikin cerah,"bikin bruntusan, milia dibawah mata","Terima kasih atas umpan balikmu! Kami senang bahwa Anda merasa hasil produk Sunscreen Kami cerah. Namun, kami juga menyesali bahwa Anda mengalami bruntusan dan milia. Kami akan berusaha untuk meningkatkan produk kami untuk meminimalkan efek sampingan tersebut. Jika Anda memiliki pertanyaan atau kekhawatiran lebih lanjut, silakan hubungi kami. Kami akan dengan senang hati membantu.",
Positif,Wajah,"Tekstur yang nyaman, cepat menyerap, melembabkan, dan harganya murah",None,Terima kasih atas ulasan positif Anda tentang produk sunscreen kami. Kami senang Anda menyukai teksturnya dan aromanya yang seger! Kami akan terus berusaha untuk menyediakan produk yang berkualitas dan ramah bagi kulit. Selamat tinggal!,
Positif,N/A,"Bersih, cerah, mengurangi noda hitam",None,"Terimakasih telah memilih produk kami, kami senang produk kami dapat membantu Anda. Silakan terus menggunakan produk kami untuk mendapatkan hasil yang optimal.",
Positif,N/A,mencerahkan dan lembab,"Pengemasan plastik biasa, tidak mewah","Terima kasih telah membagikan ulasan Anda tentang produk serum vitamin C kami. Kami senang mendengar bahwa Anda sudah mengalami perubahan positif dalam kulit Anda dan senang dengan aroma jeruk yang segar. Kami berharap Anda akan terus puas dengan produk kami dan kami akan tetap berupaya untuk meningkatkan kualitas produk serta pengemasannya untuk Anda dan pelanggan kami lainnya di masa depan. Mohon dulu, jika Anda memiliki saran atau kritik lebih lanjut, silakan kirimkan kepada kami. Kami akan senang membantu!",
Positif,N/A,Membuat kulit tidak notice perubahan,Teksturnya kurang suka,Terima kasih atas ulasan Anda! Kami senang Anda menyuka produk sunscreen kami. Kami berusaha memenuhi kebutuhan kulit Anda dengan tekstur yang lebih baik. Kami menghimbau Anda untuk menghubungi kami jika Anda memiliki saran atau pertanyaan. Saya senang Anda ingin mencoba lagi produk kami. Kami berharap Anda akan puas dengan pengalaman ini.,
Positif,N/A,"Produk bikin wajah jadi lembab, cerah, serta mengangkat selt kulit mati dan memperkuat perlindungan kulit.",None,"Terima kasih atas komentar positif Anda tentang produk sunscreen kami. Kami senang Anda menikmati manfaat lembutan dan perlindungan kulit yang kami berikan. Kami percaya bahwa setiap kulit unik, sehingga kami selalu berusaha untuk memenuhi kebutuhan unik setiap pelanggan. Jika Anda memiliki pertanyaan atau ketidaknyamanan lainnya, silakan hubungi kami langsung.",
Positif,N/A,Melembabkan,None,Terima kasih atas ulasan positif Anda tentang serum vitamin C kami! Kami senang Anda menemukan produk kami cocok untuk kebutuhan kulit Anda. Kami akan terus meningkatkan kualitas produk kami untuk memenuhi kebutuhan Anda dan kulit Anda tetap terlembab.,
Positif,N/A,Serum dapat melindungi kulit wajah selama 7 hari,None,Terima kasih telah menggunakan produk Azarine! Kami senang mendengar bahwa Anda merasa puas dengan khasiat serum kami. Kami akan terus berusaha untuk menciptakan produk yang lebih baik untuk Anda.,
Positif,N/A,Terasa kulit wajah cerah dan menghilangkan flek hitam,None,"Selamat hari Anda, saya sangat senang mengetahui bahwa Anda telah menggunakan produk sunsreen kami dan merasakan hasil yang memuaskan! Kami senang melihat kulit wajah Anda terlihat lebih cerah dan tidak kusam. Jika Anda memiliki pertanyaan atau membutuhkan saran lebih lanjut, jangan ragu untuk menghubungi kami. Terima kasih atas kepercayaan Anda terhadap merek kami!",
Positif,N/A,"Bikin cerahan, memudar noda bekas jerawat, tidak bikin breakout",Paket ukurannya kecil (namun dianggap sesuai harga),"Terima kasih telah menggunakan produk sunscreen kami! Kami senang mendengar bahwa produk kami membantu membuat wajah Anda terlihat cerah dan memudarkan noda bekas jerawat. Kami memahami kekhawatiran Anda tentang ukuran paket, dan kami akan mempertimbangkan untuk meningkatkan ukuran paket di masa depan. Segera gunakan produk kami dengan percaya diri dan nikmati hasilnya!",
Positif,N/A,Mencerahkan kulit dan menyentuh wajah cerah,None,"Terima kasih telah memilih produk serum Azarine! Kami senang mendengar bahwa Anda puas dengan hasil yang Anda dapatkan. Produkt kami ini memang dirancang untuk membantu memberikan kulit yang cerah dan sehat. Apabila Anda memiliki pertanyaan atau memerlukan saran lebih lanjut, silakan hubungi kami.",
Positif,berminyak,Produk bagus,None,Terima kasih atas review positifnya tentang produk Sunscreen Azarine! Kami senang produk kami memenuhi harapannya. Kami terus meningkatkan mutu produk untuk memenuhi kebutuhan pelanggan.,
Positif,sensitif,mencerahkan kulit,None,"Selamat atas pemilihan produk Azarine, kami senang Anda bisa menikmati manfaatnya! Untuk hasil terbaik, pastikan untuk menggunakannya secara teratur dan menjaga kulit Anda tetap terhidrasi.",
Positif,"kusam, komedoan","mencerahkan, menghilangkan komedo",None,"Selamat Anda telah menemukan produk yang efektif untuk permasalahan kulit kusam dan komedo! Kami senang Anda puas dengan hasilnya. Untuk informasi lebih lanjut tentang produk kami, silakan menghubungi kami melalui halaman kontak kami. Terima kasih telah memilih Azarine sebagai pilihan Anda!",
Positif,N/A,"Membuat kulit tidak kusam, cepat meresap, tidak lengket di tangan.",None,Terima kasih telah mereview produk kami! Kami senang mendengar bahwa produk sunscreen kami telah membuat kulit Anda terlihat lebih segar dan tidak kusam. Kami akan terus berusaha untuk memberikan produk terbaik untuk Anda dan semua pelanggan kami. Sampai jumpa lagi!,
Positif,N/A,"tidak lengket di kulit, mudah menyerap, dan membuat cerah",None,Terima kasih atas ulasan Anda tentang Serum Sunscreen Azarine! Kami senang mendengar bahwa produk kami telah membantu Anda mendapatkan kulit yang cerah dan sehat. Kami akan terus berusaha untuk memberikan produk yang terbaik bagi Anda. Sampai jumpa lagi!,
Positif,N/A,"Menenangkan kulit, melembabkan, dan membuat kulit terlihat cerah",None,"Terima kasih telah memilih produk kami! Kami senang mendengar bahwa sunscreen kami telah memberikan manfaat bagi kulit Anda. Kami berkomitmen untuk terus meningkatkan kualitas produk kami agar lebih aman dan efektif untuk kulit Anda. Jika Anda memiliki pertanyaan atau saran, silakan hubungi kami kembali.",
Positif,N/A,"Vitamin C yang bermanfaat bagi kulit, tekstur ringan dan cepat meresap serta membuat kulit bersinar",None,"Terima kasih sudah mencoba produk kami! Kami senang Anda menyukai kandungan vitamin C yang ada pada produk kami. Jika Anda ingin tahu lebih lanjut tentang manfaat lainnya, silakan hubungi kami melalui media sosial kami.",
Positif,N/A,Bikin kulit menjadi lebih cerah dan lembab,None,"Terima kasih telah melakukan review kami, kami senang membantu Anda mencapai kulit yang cerah dan sehat. Semoga produk kami terus dapat memenuhi kebutuhan Anda.",
Positif,N/A,Hasilnya kulit bersih dan membuat kulit lebih cerah,None,"Terima kasih atas review yang Anda berikan! Kami senang Anda merasakan hasil positif dari produk Serum Sunscreen Azarine. Kami akan terus berusaha meningkatkan kualitas produk kami untuk memberikan hasil yang lebih baik. Untuk informasi lebih lanjut, silakan hubungi kami melalui halaman kontak kami. Kami hormat.",
Positif,N/A,Dapat mencerahkan wajah,None,"Terima kasih telah memilih Azarine sebagai pilihan Anda! Kami senang Anda sudah mencoba sunscreen kami dan melihat hasil yang baik. Kami mengucapkan selamat atas perubahan wajah yang positif, dan bersyukur atas pilihan harga yang terjangkau. Kami akan terus berusaha untuk meningkatkan kualitas produk kami.",
Positif,N/A,"Membuat kulit cerah, mudah digunakan, harga terjangkau, tidak lengket",None,Selamat atas keputusan Anda untuk merekomendasikan produk kami ke ibu Anda! Kami berterima kasih atas testimoninya dan senang mendengar bahwa produk kami telah membantu membuat wajah Anda lebih cerah. Kami akan terus bekerja keras untuk memastikan kualitas produk kami terbaik. Terima kasih atas kepercayaan Anda dan kami harap Anda akan terus menikmati produk kami.,
Positif,N/A,"Tekstur ringan dan cepat meresap di kulit, tidak lengket",None,Terima kasih sudah memilih serum c white lightening Azarine! Kami senang Anda merasakan tekstur ringan dan cepat meresapnya produk kami. Kami akan terus berusaha untuk menghasilkan produk yang berkualitas tinggi untuk kesehatan kulit Anda.,
Positif,N/A,"Mengurangi bekas jerawat, menjaga kelembaban wajah, serta menyamarkan bekas jerawat",None,"Terima kasih sudah memilih produk kami. Kami senang mendengar bahwa produk kami telah membantu Anda dalam menjaga kelembaban wajah dan menyamarkan bekas jerawat. Jika Anda memiliki pertanyaan atau membutuhkan bantuan, jangan ragu untuk menghubungi kami.",
Positif,berbekas jerawat,Membuat kulit lebih cerah,Tidak ada,Terima kasih sudah mencoba produk kami! Kami senang mendengar bahwa produk kami berhasil memberikan hasil yang diharapkan. Kami akan terus meningkatkan kualitas produk kami untuk memuaskan kebutuhan Anda. Silakan terus menjaga kulit Anda!,
Negatif,N/A,N/A,"Merusak kulit (kusam), kurang efek","Mohon maaf atas kejadian tidak nyaman yang Anda alami saat menggunakan produk kami. Kami akan senang jika Anda dapat memberikan kesempatan kepada kami untuk memperbaiki keadaan tersebut. Jika Anda memerlukan bantuan atau ingin mencari pilihan produk yang lebih cocok, silakan hubungi kami melalui layanan customer service kami. Kami siap membantu.",
Positif,N/A,"Produk cocok untuk wajah dan tidak membuat timbul beruntusan, serum tidak lengket dan tidak membuat perih di wajah.",None,Terima kasih telah mencoba produk kami dan memberikan ulasan positif! Kami senang mendengar bahwa produk kami cocok untuk wajah Anda. Kami akan terus berupaya untuk meningkatkan produk kami dan memberikan kualitas terbaik bagi pelanggan kami.,
Positif,N/A,"Mencerahkan wajah, membuat wajah jadi sehat, kenyal, dan glowing",None,Terima kasih telah membagikan pengalaman menggunakan produk Azarine! Kami senang mendengar bahwa produk kita telah membantu membuat wajah Anda lebih cerah dan sehat. Segera saja produk Azarine lagi untuk Anda mencintai!,
Positif,sensitif,"Mudah menyerap kulit, tidak lengket, ringan, dan aman untuk kulit sensitif",N/A,Terima kasih telah memilih produk kami! Kami senang melihat bahwa Anda telah mengalami hasil yang positif dari menggunakan produk kami. Kami berkomitmen untuk terus meningkatkan kualitas produk kami untuk memenuhi kebutuhan pelanggan kami. Sampaikan terima kasih atas ulasan Anda dan pastikan Anda untuk terus menggunakan produk kami untuk hasil yang lebih baik lagi!,
Positif,N/A,Tidak menyebabkan breakout atau efek samping lainnya,Hasil yang digunakan sedikit lebih lama,"Terima kasih telah memilih Azarine sebagai pilihan Anda! Kami senang produk kami dapat membantu kulit Anda tanpa menyebabkan breakout. Meskipun ada sedikit perbedaan waktu hasil, kami percaya bahwa manfaat produk kami lebih tinggi. Apakah Anda memiliki pertanyaan atau kebutuhan lebih lanjut? Kita siap membantu!",
Positif,N/A,"Tidak hanya mudah dibawa dan tahan lama, produk juga memiliki tekstur yang nyaman (gel yang agak runny) dan wangi citrus yang menyenangkan",None,"Terima kasih telah memilih rangkaian C White series kami dari Azarine! Kami senang Anda menyukai serumnya, teksturnya yang nyaman, dan wanginya citrus yang segar. Kami akan terus berusaha untuk meningkatkan kualitas produk kami demi kepuasan Anda.",
Positif,N/A,"Sunscreen ini memiliki wangi yang enak, tekstur yang gampang menyerap di kulit, serta tahan lama",Pipetnya dapat mendelep ke dalam wadah pada kesokpangan tertentu,"Terima kasih sudah memberikan umpan balik tentang produk kami! Kami bangga bahwa Anda puas dengan produk kami yang memberikan aroma yang menyenangkan dan tekstur yang mudah diserap oleh kulit. Kami akan memperhatikan kerusakan pipet pada salah satu kesopangan, dan berusaha untuk memperbaikinya. Mohon maaf atas kenyataan ini dan kami berharap Anda akan terus menggunakan produk kami.",
Negatif,N/A,Aromanya segar,"Lengket, tidak berpengaruh di wajah, dan tumbuh jeriwi pada pipi",Terima kasih atas ulasannya! Kami sangat berterima kasih atas umpan baliknya. Kami akan memperhatikan hal itu dan akan terus meningkatkan kualitas produk kami.,
